movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
766,Saving Mr. Banks,12/13/2013,Drama,PG-13,.015,35,1,.413373,83.299761,7.6,93.41800000000001,65,22,0,0,0,1,0,0,5
767,Scary Movie 5,4/12/2013,Comedy,PG-13,3.402,20,1,14.157367,32.014289,3.5,41.856,11,1,0,0,0,1,0,0,4
769,The Secret Life of Walter Mitty,12/25/2013,Comedy,PG,2.909,90,1,13,58.22912,7.4,192.297,54,20,0,0,1,0,0,0,4
774,The Smurfs 2,7/31/2013,Family Comedy,PG,3.866,105,1,17.548389,71.01778400000001,5.4,22.596,34,8,0,0,1,0,0,0,4
775,Snitch,2/22/2013,Action,PG-13,2.511,15,1,13.167607,42.919096,6.5,56.112,51,14,0,0,0,1,0,0,1
777,The Spectacular Now,8/2/2013,Comedy / Drama,R,.004,2.5,1,.197415,6.851969,7.2,71.108,82,22,0,0,0,0,1,0,4
781,Star Trek Into Darkness,5/16/2013,Sci-Fi Adventure,PG-13,3.762,190,1,70.165559,228.756232,7.8,334.744,72,1,0,0,0,1,0,0,2
782,Starbuck (U.S. only),3/22/2013,Comedy,R,.003,26,1,7.944977,30.659817,6.4,46.356,44,8,0,0,0,0,1,0,4
783,Stoker,3/1/2013,Horror Thriller,R,.007,12,1,.160547,1.702277,6.9,72.97199999999999,58,14,0,0,0,0,1,0,6
789,This is the End,6/12/2013,Comedy,R,3.055,32,1,20.719162,101.470202,6.7,257.179,67,3,0,0,0,0,1,0,4
790,Thor: The Dark World,11/8/2013,Action / Adventure,PG-13,3.841,170,1,85.737841,206.360018,7.2,305.534,54,22,0,0,0,1,0,0,1
792,The To-Do List,7/26/2013,Comedy,R,.591,1.5,1,.010874,.025163,6.4,1.177,56,22,0,0,0,0,1,0,4
794,Torn,10/18/2013,Drama,Unrated,.001,.45,1,.004881,.004881,5.7,.373,59,22,0,0,0,0,0,1,5
795,Trance,4/5/2013,Crime Thriller,R,.004,20,0,.131145,2.319187,7,79.568,61,3,0,0,0,0,1,0,6
796,Turbo,7/17/2013,Animation,PG,3.551,135,1,21.312625,83.0249,6.5,50.151,58,14,0,0,1,0,0,0,3
801,The Ultimate Life,9/6/2013,Drama,PG,.412,3.1,1,.6599120000000001,1.326059,5.7,.619,19,28,0,0,1,0,0,0,5
805,Walking with Dinosaurs,12/20/2013,Family Adventure,PG,3.231,80,1,7.091938,36.073232,5.2,7.378,37,23,0,0,1,0,0,0,2
